Leg Bridge Key,Leg Key
1,0
1,1
1,2
2,3
2,4
2,5
3,6
3,7
4,8
4,9
4,10
4,11
5,12
5,13
5,14
5,15
6,16
6,17
7,18
7,19
7,20
7,21
7,22
8,23
8,24
9,25
9,26
9,27
10,28
10,29
10,30
11,31
11,32
11,33
11,34
11,35
12,36
12,37
12,38
12,39
13,40
13,41
13,42
13,43
14,44
14,45
14,46
14,47
14,48
15,49
15,50
15,51
15,52
15,53
16,54
16,55
17,56
17,57
18,58
18,59
18,60
18,61
18,62
19,63
19,64
19,65
19,66
19,67
20,68
20,69
20,70
21,71
21,72
21,73
22,74
22,75
22,76
23,77
23,78
23,79
24,80
24,81
24,82
25,83
25,84
26,85
26,86
27,87
27,88
27,89
27,90
27,91
28,92
28,93
28,94
28,95
28,96
29,97
29,98
29,99
29,100
29,101
30,102
30,103
30,104
30,105
31,106
31,107
31,108
31,109
32,110
32,111
32,112
32,113
33,114
33,115
33,116
33,117
34,118
34,119
34,120
35,121
35,122
35,123
35,124
35,125
36,126
36,127
36,128
36,129
37,130
37,131
37,132
38,133
38,134
38,135
39,136
39,137
39,138
39,139
39,140
40,141
40,142
40,143
40,144
40,145
41,146
41,147
41,148
41,149
42,150
42,151
42,152
43,153
43,154
43,155
43,156
43,157
44,158
44,159
44,160
44,161
44,162
45,163
45,164
45,165
45,166
45,167
46,168
46,169
46,170
46,171
46,172
47,173
47,174
47,175
47,176
47,177
48,178
48,179
49,180
49,181
49,182
49,183
50,184
50,185
50,186
50,187
51,188
51,49
51,189
51,190
51,191
52,192
52,193
53,194
53,195
54,196
54,197
54,198
54,199
55,200
55,201
55,202
55,203
56,204
56,205
57,206
57,207
57,208
57,209
57,210
58,211
58,212
58,213
58,214
59,215
59,216
59,217
59,218
59,219
60,220
60,221
60,222
60,223
60,224
61,225
61,226
61,227
61,228
62,229
62,230
62,231
63,232
63,233
63,234
64,235
64,236
65,237
65,238
65,239
65,240
65,241
66,242
66,243
67,244
67,245
67,246
68,247
68,248
68,249
68,250
69,251
69,252
70,253
70,254
70,255
70,256
71,257
71,258
71,259
71,260
71,261
72,262
72,263
72,264
73,265
73,266
73,267
73,268
74,269
74,270
75,271
75,272
76,273
76,274
76,275
76,276
76,277
77,278
77,279
77,280
77,281
77,282
78,283
78,284
78,285
78,286
79,287
79,11
80,288
80,289
80,290
80,291
80,292
81,293
81,294
81,295
82,296
82,297
82,298
82,299
82,300
83,301
83,302
83,303
83,304
84,305
84,306
84,307
85,308
85,309
85,310
85,311
86,312
86,313
87,314
87,315
87,316
87,317
88,318
88,319
89,320
89,321
89,322
90,323
90,324
91,325
91,326
