Country Link,Country Name
https://www.searates.com//maritime/albania.htm,Albania
https://www.searates.com//maritime/algeria.htm,Algeria
https://www.searates.com//maritime/american_samoa.htm,American Samoa
https://www.searates.com//maritime/andorra.htm,Andorra
https://www.searates.com//maritime/angola.htm,Angola
https://www.searates.com//maritime/anguilla.htm,Anguilla
https://www.searates.com//maritime/antigua_and_barbuda.htm,Antigua and Barbuda
https://www.searates.com//maritime/argentina.htm,Argentina
https://www.searates.com//maritime/aruba.htm,Aruba
https://www.searates.com//maritime/australia.htm,Australia
https://www.searates.com//maritime/austria.htm,Austria
https://www.searates.com//maritime/azerbaijan.htm,Azerbaijan
https://www.searates.com//maritime/bahamas.htm,Bahamas
https://www.searates.com//maritime/bahrain.htm,Bahrain
https://www.searates.com//maritime/bangladesh.htm,Bangladesh
https://www.searates.com//maritime/barbados.htm,Barbados
https://www.searates.com//maritime/belarus.htm,Belarus
https://www.searates.com//maritime/belgium.htm,Belgium
https://www.searates.com//maritime/belize.htm,Belize
https://www.searates.com//maritime/benin.htm,Benin
https://www.searates.com//maritime/bermuda.htm,Bermuda
https://www.searates.com//maritime/bolivia.htm,Bolivia
https://www.searates.com//maritime/brazil.htm,Brazil
https://www.searates.com//maritime/british_virgin_islands.htm,British Virgin Islands
https://www.searates.com//maritime/brunei.htm,Brunei
https://www.searates.com//maritime/bulgaria.htm,Bulgaria
https://www.searates.com//maritime/burundi.htm,Burundi
https://www.searates.com//maritime/cambodia.htm,Cambodia
https://www.searates.com//maritime/cameroon.htm,Cameroon
https://www.searates.com//maritime/canada.htm,Canada
https://www.searates.com//maritime/cape_verde.htm,Cape Verde
https://www.searates.com//maritime/cayman_islands.htm,Cayman Islands
https://www.searates.com//maritime/central_african_republic.htm,Central African Republic
https://www.searates.com//maritime/chile.htm,Chile
https://www.searates.com//maritime/china.htm,China
https://www.searates.com//maritime/christmas_island.htm,Christmas Island
https://www.searates.com//maritime/colombia.htm,Colombia
https://www.searates.com//maritime/comoros.htm,Comoros
https://www.searates.com//maritime/cook_islands.htm,Cook Islands
https://www.searates.com//maritime/costa_rica.htm,Costa Rica
https://www.searates.com//maritime/croatia.htm,Croatia
https://www.searates.com//maritime/cuba.htm,Cuba
https://www.searates.com//maritime/curacao.htm,Curacao
https://www.searates.com//maritime/cyprus.htm,Cyprus
https://www.searates.com//maritime/czech_republic.htm,Czech Republic
https://www.searates.com//maritime/democratic_republic_of_the_congo.htm,Democratic Republic of the Congo
https://www.searates.com//maritime/denmark.htm,Denmark
https://www.searates.com//maritime/djibouti.htm,Djibouti
https://www.searates.com//maritime/dominica.htm,Dominica
https://www.searates.com//maritime/dominican_republic.htm,Dominican Republic
https://www.searates.com//maritime/ecuador.htm,Ecuador
https://www.searates.com//maritime/egypt.htm,Egypt
https://www.searates.com//maritime/el_salvador.htm,El Salvador
https://www.searates.com//maritime/equatorial_guinea.htm,Equatorial Guinea
https://www.searates.com//maritime/eritrea.htm,Eritrea
https://www.searates.com//maritime/estonia.htm,Estonia
https://www.searates.com//maritime/ethiopia.htm,Ethiopia
https://www.searates.com//maritime/falkland_islands.htm,Falkland Islands
https://www.searates.com//maritime/faroe_islands.htm,Faroe Islands
https://www.searates.com//maritime/fiji.htm,Fiji
https://www.searates.com//maritime/finland.htm,Finland
https://www.searates.com//maritime/france.htm,France
https://www.searates.com//maritime/french_guiana.htm,French Guiana
https://www.searates.com//maritime/french_polynesia.htm,French Polynesia
https://www.searates.com//maritime/gabon.htm,Gabon
https://www.searates.com//maritime/gambia.htm,Gambia
https://www.searates.com//maritime/georgia.htm,Georgia
https://www.searates.com//maritime/germany.htm,Germany
https://www.searates.com//maritime/ghana.htm,Ghana
https://www.searates.com//maritime/gibraltar.htm,Gibraltar
https://www.searates.com//maritime/greece.htm,Greece
https://www.searates.com//maritime/greenland.htm,Greenland
https://www.searates.com//maritime/grenada.htm,Grenada
https://www.searates.com//maritime/guadeloupe.htm,Guadeloupe
https://www.searates.com//maritime/guam.htm,Guam
https://www.searates.com//maritime/guatemala.htm,Guatemala
https://www.searates.com//maritime/guinea.htm,Guinea
https://www.searates.com//maritime/guinea_bissau.htm,Guinea-Bissau
https://www.searates.com//maritime/guyana.htm,Guyana
https://www.searates.com//maritime/haiti.htm,Haiti
https://www.searates.com//maritime/honduras.htm,Honduras
https://www.searates.com//maritime/hong_kong.htm,Hong Kong
https://www.searates.com//maritime/hungary.htm,Hungary
https://www.searates.com//maritime/iceland.htm,Iceland
https://www.searates.com//maritime/india.htm,India
https://www.searates.com//maritime/indonesia.htm,Indonesia
https://www.searates.com//maritime/iran.htm,Iran
https://www.searates.com//maritime/iraq.htm,Iraq
