Leg Key,Origin Port Key,Destination Port Key,Leg Miles
0,522,3355,6657.002606518377
1,3355,2597,6463.309246556983
2,2597,3826,6727.922915069384
3,1163,671,5931.021124129623
4,671,3826,6709.486977098263
5,3826,1481,7034.349186481864
6,3118,2743,2553.144347180272
7,2743,671,4522.581348669882
8,802,3056,9690.49499530146
9,3056,1598,2331.9865935218536
10,1598,669,2820.050776431069
11,669,1950,755.7584830970866
12,522,1598,10059.032445302326
13,1598,1949,2898.9888851923456
14,1949,1481,3173.8281975754944
15,1481,232,8680.048243455036
16,4249,3824,7989.756815353377
17,3824,3830,1004.1635237714546
18,126,2743,8811.927809169625
19,2743,3828,4520.13343493346
20,3828,2803,4167.041457845124
21,2803,2248,4288.034177408257
22,2248,1481,4858.948689716062
23,191,182,4878.631146578727
24,182,1480,1276.9811637678076
25,2840,890,2114.248144199964
26,890,1164,3658.8872547516216
27,1164,671,6191.809501487925
28,1389,2141,7819.295555775172
29,2141,2858,2773.7849234852183
30,2858,670,1484.962796900822
31,2839,1684,4217.529245763187
32,1684,3355,3295.610358440037
33,3355,858,4449.74155314685
34,858,232,3764.1287322144685
35,232,671,10953.890453587845
36,2551,890,5889.7010413709195
37,890,2795,3375.8320695028224
38,2795,2493,1130.3633562852851
39,2493,1481,700.608550775276
40,2141,2743,5397.482778969084
41,2743,3154,1939.2836626889532
42,3154,202,4972.851528513132
43,202,232,4074.656854276416
44,1163,3118,1174.030041082054
45,3118,2493,3485.478932735667
46,2493,4249,2453.2621704533567
47,4249,670,200.1754057066663
48,670,1949,1509.557996940516
49,1599,126,3684.9293143315094
50,126,3199,8747.223906025893
51,3199,1856,6008.148118481179
52,1856,232,3635.1376482447563
53,232,672,11270.271789227858
54,2795,3833,7825.432582651699
55,3833,232,6616.870640446734
56,1403,3107,946.9631904723301
57,3107,232,2607.613192973345
58,1260,2795,2724.384811327706
59,2795,1599,3610.6002449353027
60,1599,2141,139.8007090427732
61,2141,671,1541.3963425360078
62,671,672,778.771631678731
63,389,2840,8952.315893204146
64,2840,1014,4115.815088630899
65,1014,2041,1535.774411204759
66,2041,670,3519.7248088524448
67,670,671,335.8987924133049
68,3066,1692,2829.1109229343847
69,1692,672,4228.7737142307005
70,672,1951,692.640309547949
71,1013,2906,2280.85021312454
72,2906,3827,4420.7335090862
73,3827,232,5392.455745164136
74,2368,198,384.5322606654893
75,198,3818,6837.03361115606
76,3818,3828,1470.6126784304167
77,2743,1412,5908.232648669503
78,1412,2255,10181.192379624272
79,2255,1480,1543.7655276850655
80,3066,2598,5789.0479932450735
81,2598,671,732.6949936508641
82,671,2199,9042.191073315902
83,126,3356,10220.511117422966
84,3356,2198,5497.49186411085
85,202,4215,1539.7358024697737
86,4215,669,9514.130454835544
87,1600,1389,7690.664590059335
88,1389,391,3925.2983576315
89,391,3826,2438.3841245751846
90,3826,2551,4373.049797890656
91,2551,232,2406.4204500523606
92,2367,34,1472.670226321037
93,34,2815,6247.6843151122075
94,2815,670,1522.533413931549
95,670,3830,8609.668436379461
96,3830,1481,8461.848990914415
97,4215,801,640.4600777166157
98,801,4214,809.1989290695972
99,4214,2905,4026.355208321892
100,2905,2947,5671.693487781405
101,2947,671,2508.1197129675056
102,2332,202,9232.030421517082
103,202,2744,7125.158912203775
104,2744,2486,4351.845092055575
105,2486,671,3470.0708264191303
106,62,802,3131.9889626548816
107,802,1163,4845.151389400576
108,1163,1952,5793.500518719381
109,1952,232,11240.622669401353
110,2367,2091,1946.9660860367976
111,2091,1597,7923.044733590607
112,1597,2743,6547.159474005101
113,2743,1951,4256.075900630778
114,62,2234,5612.529412897459
115,2234,2091,1377.3737239480438
116,2091,126,9179.398572921096
117,126,670,4434.238561405215
118,2858,1013,5415.617787916456
119,1013,4214,6230.634739888163
120,4214,3828,1984.759927814691
121,3066,2795,2644.130597304586
122,2795,888,2431.458475848755
123,888,2944,4620.493810016454
124,2944,1480,453.33866961380585
125,1480,3830,9633.547215775088
126,2493,1014,2079.316579817729
127,1014,232,6181.038094945446
128,232,2840,4311.966310422119
129,2840,1480,4459.604470523634
130,998,802,1161.2032103500344
131,802,2857,8729.849894016847
132,2857,670,1599.2245301648675
133,62,2493,9244.643975000663
134,2493,672,3270.604163257892
135,672,3835,7161.563481313132
136,2597,2743,4986.167327876035
137,2743,3825,4528.818808291554
138,3825,3829,324.1471000060925
139,3829,3830,1064.9419063465457
140,3830,1952,6462.575551883426
141,998,1403,1631.0433481031544
142,1403,3154,5875.374444089079
143,3154,4265,2095.9176626791373
144,4265,4249,4142.385501354245
145,4249,671,508.652314712706
146,2041,1599,3991.4212305006467
147,1599,1481,2392.1829264091875
148,1481,2743,3118.76707987319
149,2743,3827,4368.935174892659
150,2840,283,2867.463803433331
