Leg Schedule Key,Leg Key,Origin Port Scheduled Departure Date,Destination Port Scheduled Arrival Date,Origin Port Actual Departure Date,Destination Port Actual Arrival Date
1,1,2018-09-08,2018-09-26,2018-09-09,2018-09-27
2,2,2018-09-30,2018-09-26,2018-09-28,2018-09-29
3,1,2018-10-05,2018-10-27,2018-10-06,2018-10-28
4,2,2018-10-28,2018-10-27,2018-10-29,2018-10-31
5,3,2018-02-12,2018-03-11,2018-02-13,2018-03-12
6,4,2018-03-13,2018-03-11,2018-03-13,2018-03-17
7,5,2018-03-20,2018-03-17,2018-03-20,2018-03-29
8,6,2018-03-31,2018-03-29,2018-03-30,2018-04-02
9,3,2018-04-23,2018-06-07,2018-04-24,2018-06-08
10,4,2018-06-08,2018-06-07,2018-06-11,2018-06-18
11,5,2018-06-16,2018-06-15,2018-06-20,2018-07-06
12,6,2018-07-02,2018-07-02,2018-07-08,2018-07-13
13,7,2018-05-11,2018-05-22,2018-05-15,2018-06-03
14,8,2018-05-23,2018-05-22,2018-06-06,2018-06-15
15,9,2018-06-02,2018-06-01,2018-06-17,2018-06-20
16,10,2018-06-08,2018-06-05,2018-06-20,2018-07-27
17,7,2018-08-05,2018-08-20,2018-08-14,2018-08-29
18,8,2018-08-21,2018-08-20,2018-09-01,2018-09-13
19,9,2018-09-03,2018-09-02,2018-09-18,2018-10-03
20,10,2018-09-08,2018-09-08,2018-10-03,2018-11-07
21,11,2018-06-20,2018-07-21,2018-06-21,2018-07-22
22,12,2018-07-22,2018-07-21,2018-07-22,2018-08-09
23,13,2018-08-10,2018-08-09,2018-08-09,2018-09-01
24,11,2018-06-20,2018-07-27,2018-06-22,2018-07-29
25,12,2018-07-28,2018-07-27,2018-07-30,2018-08-20
26,13,2018-08-20,2018-08-18,2018-08-20,2018-09-17
27,16,2018-09-26,2018-10-12,2018-09-28,2018-10-14
28,17,2018-10-15,2018-10-12,2018-10-14,2018-11-22
29,18,2018-11-25,2018-11-23,2018-11-23,2018-12-05
30,19,2018-12-11,2018-12-07,2018-12-09,2019-01-02
31,20,2019-01-05,2019-01-04,2019-01-04,2019-01-12
32,16,2018-01-03,2018-01-17,2018-01-10,2018-01-24
33,17,2018-01-18,2018-01-17,2018-01-24,2018-02-27
34,18,2018-02-22,2018-02-21,2018-03-01,2018-03-12
35,19,2018-03-05,2018-03-05,2018-03-14,2018-04-04
36,20,2018-03-26,2018-03-26,2018-04-05,2018-04-12
37,21,2018-06-25,2018-07-06,2018-06-26,2018-07-07
38,22,2018-07-07,2018-07-06,2018-07-10,2018-08-05
39,23,2018-08-04,2018-08-02,2018-08-05,2018-08-16
40,24,2018-08-16,2018-08-15,2018-08-17,2018-09-12
41,21,2018-03-10,2018-03-15,2018-03-12,2018-03-17
42,22,2018-03-16,2018-03-15,2018-03-20,2018-04-02
43,23,2018-03-29,2018-03-29,2018-04-02,2018-04-07
44,24,2018-04-03,2018-04-03,2018-04-09,2018-04-21
45,25,2018-05-10,2018-06-02,2018-05-11,2018-06-03
46,26,2018-06-03,2018-06-02,2018-06-03,2018-06-13
