Shipment Key,Voyage Schedule Key,Vehicle Key,Bill-of-Lading Key,Shipment Fees
1,1,828,3822,354502.0
2,2,227,8228,255456.0
3,3,417,5469,1344524.0
4,3,417,4638,1344524.0
5,4,1067,8101,777158.0
6,4,1067,4348,777158.0
7,5,250,6710,2301256.0
8,5,250,7861,2301256.0
9,6,896,9135,2070376.0
10,6,896,7163,2070376.0
11,7,1185,6000,752688.0
12,8,559,5310,1999844.0
13,8,559,2727,1999844.0
14,9,53,3038,1961190.0
15,9,53,6411,1961190.0
16,10,708,10,2205624.0
17,10,708,879,2205624.0
18,10,708,1088,2205624.0
19,11,815,1351,1382616.0
20,11,815,2654,1382616.0
21,12,751,2529,876470.0
22,12,751,8212,876470.0
23,13,590,3664,1335684.0
24,13,590,6410,1335684.0
25,14,730,3180,1906872.0
26,14,730,6917,1906872.0
27,14,730,4432,1906872.0
28,15,209,8867,659124.0
29,15,209,9855,659124.0
30,16,755,8997,1043464.0
31,16,755,5258,1043464.0
32,17,578,7027,2832582.0
33,17,578,3566,2832582.0
34,18,406,1336,1692820.0
35,18,406,8408,1692820.0
36,19,657,194,1639330.0
37,19,657,8929,1639330.0
38,20,779,5370,927928.0
39,20,779,4384,927928.0
40,20,779,3029,927928.0
41,21,1000,6683,771888.0
42,21,1000,3139,771888.0
43,22,972,9579,741036.0
44,22,972,4396,741036.0
45,22,972,8819,741036.0
46,23,107,741,1143936.0
47,24,153,4345,890904.0
48,24,153,548,890904.0
49,25,507,7259,881820.0
50,25,507,8841,881820.0
51,26,468,8252,983136.0
52,26,468,8387,983136.0
53,27,69,1962,2293908.0
54,27,69,8596,2293908.0
55,28,595,4773,3370360.0
56,28,595,6476,3370360.0
57,28,595,4009,3370360.0
58,29,821,8902,1078784.0
59,29,821,3903,1078784.0
60,30,206,1166,949840.0
61,30,206,5485,949840.0
62,30,206,4743,949840.0
63,31,834,3921,810720.0
64,31,834,3302,810720.0
65,32,877,5397,708908.0
66,32,877,7886,708908.0
67,32,877,9904,708908.0
68,33,1181,9295,1564488.0
69,34,108,4805,1529136.0
70,34,108,3431,1529136.0
71,35,1101,7525,837102.0
72,35,1101,1826,837102.0
73,36,75,9050,2212350.0
74,36,75,587,2212350.0
75,36,75,9522,2212350.0
76,37,845,8910,926112.0
77,37,845,4922,926112.0
78,38,976,9680,759920.0
79,38,976,2638,759920.0
80,38,976,7902,759920.0
81,39,1132,6817,1176672.0
82,39,1132,4445,1176672.0
83,40,1080,8664,867744.0
84,40,1080,8489,867744.0
85,40,1080,6041,867744.0
86,41,401,137,2886192.0
87,41,401,7294,2886192.0
88,42,491,7801,2279480.0
89,42,491,2418,2279480.0
90,42,491,9818,2279480.0
91,43,1033,9081,960446.0
92,43,1033,4513,960446.0
93,43,1033,8312,960446.0
94,44,322,264,1061998.0
95,44,322,424,1061998.0
96,44,322,9803,1061998.0
97,45,663,4950,1620848.0
98,46,718,1169,1072330.0
99,47,844,1687,852420.0
100,47,844,7226,852420.0
101,48,157,4801,885972.0
102,48,157,4368,885972.0
103,49,610,3875,2489592.0
104,49,610,9035,2489592.0
105,50,830,6578,1457832.0
106,50,830,7372,1457832.0
107,50,830,6166,1457832.0
108,51,237,1236,675510.0
109,52,654,2148,825944.0
110,53,551,5166,2858856.0
111,53,551,9887,2858856.0
112,54,948,5122,1052436.0
113,54,948,557,1052436.0
114,54,948,8884,1052436.0
115,55,337,5437,538080.0
116,56,357,816,389712.0
117,57,179,9333,744432.0
118,57,179,4680,744432.0
119,57,179,5410,744432.0
120,58,1029,3088,625462.0
121,58,1029,6372,625462.0
122,58,1029,6939,625462.0
123,59,1034,8149,990102.0
124,60,1150,2104,829608.0
125,60,1150,9861,829608.0
126,61,67,827,1602392.0
127,61,67,2594,1602392.0
128,62,32,2762,802368.0
129,62,32,1228,802368.0
130,63,8,5498,453378.0
131,63,8,7686,453378.0
132,64,430,8256,1385890.0
133,64,430,4505,1385890.0
134,65,819,3635,1157244.0
135,66,68,4977,1239168.0
