Shipment Key,Voyage Schedule Key,Vehicle Key,Bill-of-Lading Key,Shipment Fees
1,1,,4108,
2,2,,3668,
3,2,,2821,
4,3,,8615,
5,3,,4673,
6,4,,50,
7,4,,3084,
8,4,,6338,
9,5,,4716,
10,6,,6820,
11,7,,3378,
12,7,,9385,
13,8,,6880,
14,8,,8518,
15,9,,8868,
16,9,,3000,
17,10,,1435,
18,10,,9647,
19,10,,5807,
20,11,,5017,
21,12,,2069,
22,12,,2396,
23,13,,6359,
24,14,,6737,
25,15,,2467,
26,15,,1574,
27,16,,707,
28,16,,6051,
29,17,,3587,
30,17,,4148,
31,18,,9,
32,18,,2089,
33,19,,3681,
34,19,,8250,
35,20,,1111,
36,20,,2915,
37,21,,6254,
38,21,,1067,
39,22,,4382,
40,22,,7043,
41,22,,1885,
42,23,,5269,
43,24,,6116,
44,24,,2304,
45,25,,9482,
46,26,,9551,
47,27,,6055,
48,27,,4941,
49,27,,7862,
50,28,,2639,
51,28,,8325,
52,28,,9727,
53,29,,6016,
54,29,,960,
55,30,,3762,
56,30,,7153,
57,30,,1541,
58,31,,6609,
59,32,,4412,
60,32,,7718,
61,33,,3573,
62,34,,371,
63,34,,4377,
64,35,,3640,
65,35,,9782,
66,36,,9992,
67,36,,6405,
68,36,,8613,
69,37,,3322,
70,38,,5234,
71,38,,1102,
72,39,,4543,
73,39,,5220,
74,40,,6574,
75,40,,652,
76,40,,5551,
77,41,,3083,
78,41,,7662,
79,42,,8253,
80,42,,5417,
81,43,,2921,
82,44,,6585,
83,44,,8045,
84,45,,9751,
85,46,,4947,
86,46,,2800,
87,47,,6932,
88,47,,3484,
89,48,,3275,
90,48,,4950,
91,49,,9986,
92,50,,1189,
93,51,,8777,
94,51,,3862,
95,52,,4471,
96,52,,9151,
97,53,,2999,
98,53,,3753,
99,54,,3227,
100,54,,3991,
101,55,,6613,
102,55,,4999,
103,56,,4554,
104,56,,8973,
105,56,,2039,
106,57,,7234,
107,58,,5519,
108,58,,7094,
109,59,,5580,
110,60,,5875,
111,60,,4870,
112,61,,5935,
113,61,,3292,
114,62,,7696,
115,62,,9248,
116,63,,8548,
117,63,,7236,
118,64,,29,
119,64,,7215,
120,65,,6916,
121,65,,6999,
122,66,,850,
123,66,,8678,
124,66,,8359,
125,67,,7146,
126,68,,9978,
127,68,,6335,
128,69,,1184,
129,70,,7261,
130,71,,7767,
131,71,,915,
132,72,,7978,
133,72,,8353,
134,72,,1210,
135,73,,3130,
136,73,,9433,
137,74,,4701,
138,74,,9745,
139,74,,7401,
140,75,,6784,
141,76,,4237,
142,76,,2990,
143,77,,4202,
144,78,,6678,
