Leg Schedule Key,Leg Key,Origin Port Scheduled Departure Date,Destination Port Scheduled Arrival Date,Origin Port Actual Departure Date,Destination Port Actual Arrival Date
1,1,,,,
2,2,,,,
3,3,,,,
4,1,,,,
5,2,,,,
6,3,,,,
7,4,,,,
8,5,,,,
9,6,,,,
10,7,,,,
11,8,,,,
12,4,,,,
13,5,,,,
14,6,,,,
15,7,,,,
16,8,,,,
17,9,,,,
18,10,,,,
19,9,,,,
20,10,,,,
21,11,,,,
22,12,,,,
23,13,,,,
24,14,,,,
25,11,,,,
26,12,,,,
27,13,,,,
28,14,,,,
29,15,,,,
30,16,,,,
31,17,,,,
32,18,,,,
33,19,,,,
34,15,,,,
35,16,,,,
36,17,,,,
37,18,,,,
38,19,,,,
39,23,,,,
40,24,,,,
41,25,,,,
42,23,,,,
43,24,,,,
44,25,,,,
45,26,,,,
46,27,,,,
47,26,,,,
48,27,,,,
49,28,,,,
50,29,,,,
51,30,,,,
52,31,,,,
53,28,,,,
54,29,,,,
55,30,,,,
56,31,,,,
57,32,,,,
58,33,,,,
59,34,,,,
60,35,,,,
61,32,,,,
62,33,,,,
63,34,,,,
64,35,,,,
65,36,,,,
66,37,,,,
67,38,,,,
68,39,,,,
69,36,,,,
70,37,,,,
71,38,,,,
72,39,,,,
73,40,,,,
74,41,,,,
75,42,,,,
76,43,,,,
77,44,,,,
78,40,,,,
79,41,,,,
80,42,,,,
81,43,,,,
82,44,,,,
83,45,,,,
84,46,,,,
85,47,,,,
86,45,,,,
87,46,,,,
88,47,,,,
89,48,,,,
90,49,,,,
91,48,,,,
92,49,,,,
93,50,,,,
94,51,,,,
95,52,,,,
96,53,,,,
97,54,,,,
98,50,,,,
99,51,,,,
100,52,,,,
101,53,,,,
102,54,,,,
103,55,,,,
104,56,,,,
105,57,,,,
106,58,,,,
107,59,,,,
108,55,,,,
109,56,,,,
110,57,,,,
111,58,,,,
112,59,,,,
113,60,,,,
114,61,,,,
115,62,,,,
116,60,,,,
117,61,,,,
118,62,,,,
119,63,,,,
120,23,,,,
121,64,,,,
122,63,,,,
123,23,,,,
124,64,,,,
125,65,,,,
126,66,,,,
127,67,,,,
128,68,,,,
129,69,,,,
130,65,,,,
131,66,,,,
132,67,,,,
133,68,,,,
134,69,,,,
135,70,,,,
136,71,,,,
137,72,,,,
138,70,,,,
139,71,,,,
140,72,,,,
141,73,,,,
142,74,,,,
143,75,,,,
144,76,,,,
145,77,,,,
146,73,,,,
147,74,,,,
148,75,,,,
149,76,,,,
150,77,,,,
151,78,,,,
152,79,,,,
153,80,,,,
154,81,,,,
155,78,,,,
156,79,,,,
157,80,,,,
158,81,,,,
159,82,,,,
160,83,,,,
161,84,,,,
162,82,,,,
163,83,,,,
164,84,,,,
165,85,,,,
166,86,,,,
167,87,,,,
168,85,,,,
169,86,,,,
170,87,,,,
171,88,,,,
172,89,,,,
173,90,,,,
174,91,,,,
175,88,,,,
176,89,,,,
177,90,,,,
178,91,,,,
179,92,,,,
180,93,,,,
181,92,,,,
182,93,,,,
183,94,,,,
184,95,,,,
185,96,,,,
186,97,,,,
187,94,,,,
188,95,,,,
189,96,,,,
190,97,,,,
191,98,,,,
192,99,,,,
193,100,,,,
194,101,,,,
195,98,,,,
196,99,,,,
197,100,,,,
198,101,,,,
199,102,,,,
200,103,,,,
201,104,,,,
202,105,,,,
203,106,,,,
204,102,,,,
205,103,,,,
206,104,,,,
207,105,,,,
208,106,,,,
209,107,,,,
210,108,,,,
211,109,,,,
212,107,,,,
213,108,,,,
214,109,,,,
215,113,,,,
216,114,,,,
217,115,,,,
218,113,,,,
219,114,,,,
220,115,,,,
221,116,,,,
222,117,,,,
223,118,,,,
224,119,,,,
225,116,,,,
226,117,,,,
227,118,,,,
228,119,,,,
229,120,,,,
230,121,,,,
231,122,,,,
232,123,,,,
233,120,,,,
234,121,,,,
235,122,,,,
236,123,,,,
237,124,,,,
238,125,,,,
239,126,,,,
240,127,,,,
241,128,,,,
242,124,,,,
243,125,,,,
244,126,,,,
245,127,,,,
246,128,,,,
247,129,,,,
248,130,,,,
249,131,,,,
250,129,,,,
251,130,,,,
252,131,,,,
253,132,,,,
254,133,,,,
255,132,,,,
256,133,,,,
257,134,,,,
258,135,,,,
259,136,,,,
260,137,,,,
261,138,,,,
262,134,,,,
263,135,,,,
264,136,,,,
265,137,,,,
266,138,,,,
267,139,,,,
268,140,,,,
269,141,,,,
270,142,,,,
271,143,,,,
272,139,,,,
273,140,,,,
